Identifier A,Identifier B,Species A,Species B,Positive interaction
K7U163,A0A1D6JZL5,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6KYT0,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6N4R9,Zea mays (Maize),Zea mays (Maize),1
K7U163,A0A1D6NA80,Zea mays (Maize),Zea mays (Maize),1
K7U163,B6SY69,Zea mays (Maize),Zea mays (Maize),1
A0A1D6DUR9,A0A060D7X7,Zea mays (Maize),Zea mays (Maize),1
B4FH33,A0A1D6HB09,Zea mays (Maize),Zea mays (Maize),1
B4FH33,A0A1D6JV89,Zea mays (Maize),Zea mays (Maize),1
B4FH33,A0A1D6MTH3,Zea mays (Maize),Zea mays (Maize),1
C0P840,B6U0Y0,Zea mays (Maize),Zea mays (Maize),1
C0P840,A0A1D6L978,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A2T1W7,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A096RB21,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6LMQ4,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6KNM6,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6M250,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6ECU0,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6ECX6,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6ELB9,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6EMI2,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6ETP7,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6F853,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6FBD8,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6FHK3,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6FIF3,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6FKZ4,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6FVP6,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6FW13,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6G3M9,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6GKL4,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6GKR2,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6GU53,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6H3I3,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6H584,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6H659,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6H767,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6HEZ2,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6I856,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6IIZ5,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6IKH8,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6IQW2,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6IV90,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6JP88,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6KI41,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6KYT6,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6KZC9,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6L660,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6L865,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6LHN4,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6LNL3,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6LTW6,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6LXY3,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6M6F5,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6NAD2,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6NMH3,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6PFP9,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6PL30,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6Q253,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6QAJ9,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6QQF8,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1Q0YML2,Zea mays (Maize),Zea mays (Maize),1
A2T1W7,A0A1D6NR86,Zea mays (Maize),Zea mays (Maize),1
C0PBF8,B4FML8,Zea mays (Maize),Zea mays (Maize),1
C0PBF8,B4FTV3,Zea mays (Maize),Zea mays (Maize),1
B4FYU6,A0A1D6FGV0,Zea mays (Maize),Zea mays (Maize),1
B4FYU6,A0A1D6M4H0,Zea mays (Maize),Zea mays (Maize),1
K7VAA3,A0A1D6G0C7,Zea mays (Maize),Zea mays (Maize),1
K7VAA3,A0A1D6MCG8,Zea mays (Maize),Zea mays (Maize),1
C4J6E4,A0A1D6DSZ5,Zea mays (Maize),Zea mays (Maize),1
B6TGK8,A0A1D6FPS6,Zea mays (Maize),Zea mays (Maize),1
B6TGK8,A0A1D6IBF8,Zea mays (Maize),Zea mays (Maize),1
C0HG25,B6TKA2,Zea mays (Maize),Zea mays (Maize),1
C0HG25,A0A1D6IY07,Zea mays (Maize),Zea mays (Maize),1
C0HG25,A0A1D6K9H8,Zea mays (Maize),Zea mays (Maize),1
C0HG25,A0A1D6QLC9,Zea mays (Maize),Zea mays (Maize),1
A5H450,A0A096TWZ2,Zea mays (Maize),Zea mays (Maize),1
K7U423,B8A1T0,Zea mays (Maize),Zea mays (Maize),1
K7U423,A0A1D6EZQ5,Zea mays (Maize),Zea mays (Maize),1
K7U423,A0A1D6G8E7,Zea mays (Maize),Zea mays (Maize),1
K7U423,A0A1D6HPM6,Zea mays (Maize),Zea mays (Maize),1
K7U423,A0A3L6GBJ0,Zea mays (Maize),Zea mays (Maize),1
K7U7M2,A0A1D6PVN4,Zea mays (Maize),Zea mays (Maize),1
A0MWC0,A0A1D6JM71,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,B6SJF5,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,B4FKB3,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6JNE9,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,B4FLZ9,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6ENF9,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6N9W1,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6IXL7,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6L6T9,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6LBU5,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6E587,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6NC34,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6EK57,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6FPW4,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6FSK8,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6GPH0,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6GPI2,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6GW91,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6HC24,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6IZZ8,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6JIP7,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6JV89,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6KE36,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6KE76,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6KSR5,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6L299,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6L6Z5,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6LCL9,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6LCQ1,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6LWT4,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6M3Z4,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6N4R9,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6N7V3,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6NEY9,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6Q098,Zea mays (Maize),Zea mays (Maize),1
B6SJF5,A0A1D6QU17,Zea mays (Maize),Zea mays (Maize),1
A0A1D6KVT1,A0A1D6JNE9,Zea mays (Maize),Zea mays (Maize),1
B4FX57,A0A1D6JZ25,Zea mays (Maize),Zea mays (Maize),1
B4FX57,A0A1D6N7V3,Zea mays (Maize),Zea mays (Maize),1
A0A1D6GJW9,A0A1D6EK57,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,B4FTC1,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6ENF9,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6HYC6,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6IKV5,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6GMI8,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6J268,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6LTJ2,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6N949,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6NEE8,Zea mays (Maize),Zea mays (Maize),1
B4G1P2,A0A1D6PIF6,Zea mays (Maize),Zea mays (Maize),1
A8IK79,A0A1D6HG71,Zea mays (Maize),Zea mays (Maize),1
A8IK79,A0A1D6IAI4,Zea mays (Maize),Zea mays (Maize),1
A8IK79,A0A1D6L799,Zea mays (Maize),Zea mays (Maize),1
A8QM11,A8QM11,Zea mays (Maize),Zea mays (Maize),1
A8QM11,A0A1D6NI87,Zea mays (Maize),Zea mays (Maize),1
A8QM11,A0A1D6FQ43,Zea mays (Maize),Zea mays (Maize),1
A8QM11,A0A1D6GRJ1,Zea mays (Maize),Zea mays (Maize),1
A8QM11,A0A1D6LZ86,Zea mays (Maize),Zea mays (Maize),1
A8QM11,A0A1D6QSV7,Zea mays (Maize),Zea mays (Maize),1
A8QM12,A0A1D6I4J4,Zea mays (Maize),Zea mays (Maize),1
A8QM12,A0A1D6JG06,Zea mays (Maize),Zea mays (Maize),1
B4FVR8,A0A1D6LXX3,Zea mays (Maize),Zea mays (Maize),1
C0HIJ6,A0A1D6ML56,Zea mays (Maize),Zea mays (Maize),1
C0HIJ6,A0A1D6L8J3,Zea mays (Maize),Zea mays (Maize),1
C0HIJ6,A0A1D6KDK3,Zea mays (Maize),Zea mays (Maize),1
C0HIJ6,A0A3L6GBJ0,Zea mays (Maize),Zea mays (Maize),1
B4FA80,A0A1D6JQR0,Zea mays (Maize),Zea mays (Maize),1
B4FA80,A0A1D6PN41,Zea mays (Maize),Zea mays (Maize),1
B1PEY4,A0A1D6FYG2,Zea mays (Maize),Zea mays (Maize),1
B1PEY4,A0A1D6H8V0,Zea mays (Maize),Zea mays (Maize),1
B1PEY4,A0A1D6K500,Zea mays (Maize),Zea mays (Maize),1
B1PEY4,A0A1D6NE84,Zea mays (Maize),Zea mays (Maize),1
B1PEY4,A0A1D6PM19,Zea mays (Maize),Zea mays (Maize),1
B4FXZ1,A0A1D6KGM0,Zea mays (Maize),Zea mays (Maize),1
B4FXZ1,A0A1D6KUY8,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4F8G3,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4F8X0,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4FEE2,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4FF98,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4FXX2,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4FT35,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4FY26,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6GWH1,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4FLC0,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6JDE0,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6HL62,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6LEU6,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6M531,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6JW41,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6E8D0,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6ECS1,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6ECX6,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6ERY1,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6ETX0,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6FQ47,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6G3A9,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6GEV9,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6GYM3,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6H4F5,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6HEQ5,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6HQC9,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6I4A7,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6I5C8,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6IBF8,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6ISZ5,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6J6S7,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6JH69,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6JIG9,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6KCL4,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6KJ41,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6KVM0,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6LBD6,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6LGI2,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6LKV8,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6M7N5,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6MLL0,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6MNG2,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6MYW9,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6N2Q4,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6NM62,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6NX52,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6P3G6,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6PIX7,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6PS68,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6QP33,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6QSV7,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1D6QT22,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1Q1A2C4,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A1Q1D560,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,A0A3L6DK31,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4FJS2,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4G0F8,Zea mays (Maize),Zea mays (Maize),1
B6SJW7,B4F9A4,Zea mays (Maize),Zea mays (Maize),1
B6TI69,A0A1D6KLT1,Zea mays (Maize),Zea mays (Maize),1
B3F0L2,A0A096QUD1,Zea mays (Maize),Zea mays (Maize),1
B3F0L2,A0A1D6LZR8,Zea mays (Maize),Zea mays (Maize),1
B3F0L2,A0A1D6LC16,Zea mays (Maize),Zea mays (Maize),1
B3F0L2,A0A1D6MHB3,Zea mays (Maize),Zea mays (Maize),1
B3F0L2,A0A1D6NML6,Zea mays (Maize),Zea mays (Maize),1
B3F0L2,A0A1D6PYG7,Zea mays (Maize),Zea mays (Maize),1
B6SRI2,A0A1D6MCV6,Zea mays (Maize),Zea mays (Maize),1
B6SRI2,A0A1D6MCY6,Zea mays (Maize),Zea mays (Maize),1
B6SRI2,A0A1D6MVJ4,Zea mays (Maize),Zea mays (Maize),1
B6SRI2,A0A1D6NQS5,Zea mays (Maize),Zea mays (Maize),1
B4F7S6,A0A1D6N7V3,Zea mays (Maize),Zea mays (Maize),1
B4F7S7,A0A1D6H153,Zea mays (Maize),Zea mays (Maize),1
B4F7S8,A0A1D6F0Y2,Zea mays (Maize),Zea mays (Maize),1
B4F7S8,A0A1D6M1G2,Zea mays (Maize),Zea mays (Maize),1
B4F7S8,A0A1D6QA38,Zea mays (Maize),Zea mays (Maize),1
B4F7T4,A0A1D6LX59,Zea mays (Maize),Zea mays (Maize),1
B4F7T6,A0A1D6EIA5,Zea mays (Maize),Zea mays (Maize),1
B4F7T6,A0A1D6EQY9,Zea mays (Maize),Zea mays (Maize),1
B4F7T6,A0A1D6ITZ5,Zea mays (Maize),Zea mays (Maize),1
B4F7T8,A0A1D6EQY9,Zea mays (Maize),Zea mays (Maize),1
B4F7T8,A0A1D6ERY1,Zea mays (Maize),Zea mays (Maize),1
B4F7T8,A0A1D6G8L0,Zea mays (Maize),Zea mays (Maize),1
B4F7U0,A0A1D6HNF9,Zea mays (Maize),Zea mays (Maize),1
B4F7U0,A0A1D6K627,Zea mays (Maize),Zea mays (Maize),1
B4F7U0,A0A1D6K628,Zea mays (Maize),Zea mays (Maize),1
B4F7U0,A0A1D6L934,Zea mays (Maize),Zea mays (Maize),1
B4F7U0,A0A1D6QD32,Zea mays (Maize),Zea mays (Maize),1
B4F7U0,A4L9Q6,Zea mays (Maize),Zea mays (Maize),1
B4F7U1,A0A1D6MFB8,Zea mays (Maize),Zea mays (Maize),1
B4F7U1,A0A1D6I5M5,Zea mays (Maize),Zea mays (Maize),1
B4F7U1,A0A1D6KWD0,Zea mays (Maize),Zea mays (Maize),1
B4F7U1,A0A1D6NZW1,Zea mays (Maize),Zea mays (Maize),1
B4F7U3,A0A1D6N2Q4,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6LKH6,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6MHH6,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6GD30,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6GYM3,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6HC24,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6HDN0,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6HPP4,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6JD06,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6K627,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6NJH5,Zea mays (Maize),Zea mays (Maize),1
B4F7U4,A0A1D6Q353,Zea mays (Maize),Zea mays (Maize),1
B4F7V1,A2T1W7,Zea mays (Maize),Zea mays (Maize),1
B4F7V1,A0A1D6K1W3,Zea mays (Maize),Zea mays (Maize),1
B4F7V1,A0A1D6H3X0,Zea mays (Maize),Zea mays (Maize),1
B4F7V1,A0A1D6I9S9,Zea mays (Maize),Zea mays (Maize),1
B4F7V1,A0A1D6EPF0,Zea mays (Maize),Zea mays (Maize),1
